Payment History,Credit Utilization Ratio,Number of Credit Accounts,Education Level,Employment Status
88,64.8822840291576,4,PhD,Self-Employed
78,47.95821017542502,2,Master,Self-Employed
64,58.41994847141693,13,Master,Self-Employed
92,73.68224753949129,14,PhD,Employed
57,55.77422659504374,4,Bachelor,Self-Employed
70,58.65354346607591,1,PhD,Employed
88,56.44585425226413,7,Bachelor,Self-Employed
68,37.87726259512893,2,High School,Employed
72,33.74468338719181,13,High School,Employed
60,89.96473971450123,2,PhD,Unemployed
60,60.75552222935728,9,PhD,Self-Employed
73,24.435315546465453,5,High School,Self-Employed
85,49.824769784894016,2,Bachelor,Employed
89,33.0348481280914,11,High School,Employed
73,93.36918237598746,9,PhD,Employed
52,0.753436313407474,9,High School,Unemployed
71,22.533279771252822,1,PhD,Unemployed
51,36.535681967405765,11,PhD,Employed
73,48.78098008087379,3,High School,Self-Employed
93,85.08175178361462,4,Bachelor,Self-Employed
79,8.788762454014387,14,Master,Unemployed
87,80.58648867411435,7,High School,Unemployed
51,5.565348935697534,10,Master,Employed
70,84.23140352981817,4,High School,Self-Employed
82,5.163547787451284,2,Master,Employed
61,1.8242481428361046,7,Bachelor,Unemployed
71,69.69614623664215,6,Bachelor,Self-Employed
93,99.72555347683944,3,High School,Self-Employed
74,89.66102629740207,6,PhD,Unemployed
98,57.599841780565995,11,Master,Employed
76,91.73956130855316,6,PhD,Employed
91,0.5300006397605417,12,PhD,Self-Employed
77,97.50671629451425,5,PhD,Unemployed
65,49.07487792587845,4,Bachelor,Self-Employed
64,72.28960966217757,10,High School,Unemployed
96,82.08614731533525,12,High School,Employed
100,71.84572708365536,1,Bachelor,Unemployed
93,53.50367320449105,10,Bachelor,Employed
52,47.661948412641195,6,High School,Unemployed
86,83.85825587026248,2,PhD,Self-Employed
100,20.50775601494591,13,Master,Employed
56,96.79940665042342,3,Master,Self-Employed
70,71.09524788367483,14,Master,Self-Employed
58,19.950692733831975,8,PhD,Employed
88,73.62471836984882,10,High School,Employed
67,52.98400231811166,14,Bachelor,Self-Employed
53,70.72300956444445,14,High School,Self-Employed
74,76.77795014428388,6,PhD,Self-Employed
63,8.729017958967544,3,Bachelor,Self-Employed
99,50.6103956359347,7,PhD,Employed
58,93.20143422569342,4,Master,Employed
75,32.064219215951425,14,Master,Self-Employed
51,59.388309755789884,9,PhD,Unemployed
69,36.923048150989615,5,Bachelor,Unemployed
77,45.426797221909965,3,Bachelor,Employed
96,54.86031179381532,2,High School,Self-Employed
56,54.89219798889773,11,Master,Self-Employed
93,20.173046233023584,2,High School,Employed
57,68.45715478798333,3,High School,Unemployed
96,8.78681112426568,2,PhD,Unemployed
84,13.882477344202037,14,PhD,Unemployed
